cadastralNumber,address,dateEvent,datePublic,meetsDesignation,objectType,result,notAllowed
77:01:0005010:7239,"Центральный административный округ, муниципальный округ Хамовники, Усачева ул., Дом 13",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0005010:7238,"Центральный административный округ, муниципальный округ Хамовники, Усачева ул., Дом 13",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0005010:7237,"Центральный административный округ, муниципальный округ Хамовники, Усачева ул., Дом 13",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0005010:7236,"Центральный административный округ, муниципальный округ Хамовники, Усачева ул., Дом 13",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0005010:7235,"Центральный административный округ, муниципальный округ Хамовники, Усачева ул., Дом 13",10.02.2022,14.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004031:2680,"г. Москва, ул Рочдельская, д 12, строен 1",10.02.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:01:0004031:2679,"г. Москва, ул Рочдельская, д 12, строен 1",10.02.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:01:0004046:7904,"г. Москва, проезд Шмитовский, д 39, корп 3",10.02.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004046:5836,"г. Москва, проезд Шмитовский, д 39, корп 2",10.02.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0001097:1665,"г. Москва, б-р Страстной, д 4, строение 3, пом III, этаж 2, помещение III - комнаты с 1 по 6, 6а, с 7 по 9",02.02.2022,14.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:01:0002009:1021,"г. Москва, пер Толмаевский Б., д 5, строен 8",11.02.2022,14.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
